1750a						1750a-unknown-none
or1k						or1k-unknown-none
or1k-company-elf				or1k-company-elf
or1k-company-linux				or1k-company-linux-gnu
or1k-elf					or1k-unknown-elf
or1k-linux					or1k-unknown-linux-gnu
or1k-linux-gnu					or1k-unknown-linux-gnu
or1k-linux-uclibc				or1k-unknown-linux-uclibc
or1k64-unknown-linux				or1k64-unknown-linux-gnu
or1knd						or1knd-unknown-none
or1knd-company-elf				or1knd-company-elf
or1knd-company-linux				or1knd-company-linux-gnu
or1knd-elf					or1knd-unknown-elf
or1knd-linux					or1knd-unknown-linux-gnu
or1knd-linux-gnu				or1knd-unknown-linux-gnu
or1knd-linux-uclibc				or1knd-unknown-linux-uclibc
or32						or32-unknown-coff
or32-linux					or32-unknown-linux-gnu
orion						orion-highlevel-bsd
orion105					clipper-highlevel-bsd
os400						powerpc-ibm-os400
os68k						m68k-none-os68k
ose						m68k-ericsson-ose
ose68000					m68000-ericsson-ose
ose68k						m68k-ericsson-ose
pa-hitachi					hppa1.1-hitachi-hiuxwe2
paragon						i860-intel-osf
parisc						hppa-unknown-linux-gnu
pbb						m68k-tti-sysv3
pbd						sparc-tti-sysv3
pc532						ns32k-pc532-none
pc7300						m68000-att-sysv
pc98						i386-pc-none
pc98-freebsd					i386-pc-freebsd
pdp10						pdp10-unknown-tops20
pdp11						pdp11-dec-none
pentium						i586-unknown-none
pentium2					i686-unknown-none
pentium3					i686-unknown-none
pentiumii					i686-unknown-none
pentiumiii					i686-unknown-none
picochip					picochip-unknown-none
pj						pj-unknown-none
pjl						pjl-unknown-none
pmac						powerpc-apple-macos
pmac-mpw					powerpc-apple-mpw
pmax						mips-dec-ultrix4.2
pmin						mips-dec-ultrix4.2
pn						pn-gould-sysv
powerpc						powerpc-unknown-none
powerpc-bluegene				powerpc-ibm-cnk
powerpc-cnk					powerpc-ibm-cnk
powerpc-eabisim					powerpc-unknown-eabisim
powerpc-eabivle					powerpc-unknown-eabivle
powerpc-elf-lynxos				powerpc-elf-lynxos
powerpc-elf-lynxos5				powerpc-elf-lynxos5
powerpc-haiku					powerpc-unknown-haiku
powerpc-pikeos					powerpc-unknown-elf
powerpc-sysgo-pikeos				powerpc-sysgo-elf
powerpc-wrs-vxworks				powerpc-wrs-vxworks
powerpc-wrs-vxworks-spe			powerpc-wrs-vxworks-spe
powerpc-xcoff-lynxos178				powerpc-xcoff-lynxos178
powerpc64					powerpc64-unknown-none
powerpc64-wrs-vxworks				powerpc64-wrs-vxworks
powerpc64le					powerpc64le-unknown-none
powerpcle					powerpcle-unknown-none
powerpcspe					powerpcspe-unknown-none
powerpcspe-elf					powerpcspe-unknown-elf
ppc						powerpc-unknown-none
ppc-beos					powerpc-be-beos
ppc-elf						powerpc-unknown-elf
ppc-none-elf					powerpc-none-elf
ppc-zephyr					powerpc-unknown-zephyr
ppcbe						powerpc-unknown-none
ppcbe-elf					powerpc-unknown-elf
ppcbe-none-elf					powerpc-none-elf
ppcle						powerpcle-unknown-none
ppcle-elf					powerpcle-unknown-elf
ppcle-none-elf					powerpcle-none-elf
pru						pru-unknown-elf
pru-elf						pru-unknown-elf
ps2						i386-ibm-aix
psp						mipsallegrexel-sony-psp
pw32						i586-unknown-pw32
pyramid						pyramid-unknown-none
rdos						x86_64-pc-rdos
rdos32						i386-pc-rdos
rdos64						x86_64-pc-rdos
risc-news					mips-sony-newsos
riscv						riscv-unknown-none
riscv-company-elf				riscv-company-elf
riscv-company-hcos				riscv-company-hcos
riscv-elf					riscv-unknown-elf
riscv-linux					riscv-unknown-linux-gnu
riscv-twizzler					riscv-unknown-twizzler
riscv-zephyr					riscv-unknown-zephyr
riscv32						riscv32-unknown-none
riscv32-company-elf				riscv32-company-elf
riscv32-company-hcos				riscv32-company-hcos
riscv32-elf					riscv32-unknown-elf
riscv32-linux					riscv32-unknown-linux-gnu
riscv32-wrs-vxworks				riscv32-wrs-vxworks
riscv32-zephyr					riscv32-unknown-zephyr
riscv32be					riscv32be-unknown-none
riscv32be-company-elf				riscv32be-company-elf
riscv32be-company-hcos				riscv32be-company-hcos
riscv32be-elf					riscv32be-unknown-elf
riscv32be-linux					riscv32be-unknown-linux-gnu
riscv64						riscv64-unknown-none
riscv64-company-elf				riscv64-company-elf
riscv64-elf					riscv64-unknown-elf
riscv64-hcos					riscv64-unknown-hcos
riscv64-linux					riscv64-unknown-linux-gnu
riscv64-wrs-vxworks				riscv64-wrs-vxworks
riscv64-zephyr					riscv64-unknown-zephyr
riscv64be					riscv64be-unknown-none
riscv64be-company-elf				riscv64be-company-elf
riscv64be-company-linux				riscv64be-company-linux-gnu
riscv64be-elf					riscv64be-unknown-elf
riscv64be-hcos					riscv64be-unknown-hcos
riscv64be-linux					riscv64be-unknown-linux-gnu
rl78						rl78-unknown-none
rl78-linux					rl78-unknown-linux-gnu
roadrunner					i386-sun-sunos4.0.2
rom68k						m68k-rom68k-coff
romp						romp-ibm-aix
rs6000						rs6000-ibm-aix
rx						rx-unknown-none
rx-linux					rx-unknown-linux-gnu
s12z						s12z-unknown-none
s390						s390-ibm-none
s390-busybox-linux				s390-busybox-linux-gnu
s390-ibm-zvmoe					s390-ibm-zvmoe
s390-linux					s390-ibm-linux-gnu
s390x						s390x-ibm-none
s390x-busybox-linux				s390x-busybox-linux-gnu
s390x-ibm-zvmoe					s390x-ibm-zvmoe
s390x-linux					s390x-ibm-linux-gnu
sa29200						a29k-amd-udi
safari						m68000-att-sysv
score						score-unknown-elf
score-elf					score-unknown-elf
sde						mipsisa32-sde-elf
sde-elf						mipsisa32-sde-elf
sei						mips-sei-seiux
sequent						i386-sequent-ptx
sh						sh-unknown-none
sh-elf						sh-unknown-elf
sh-hms						sh-hitachi-hms
sh-toppers					sh-unknown-toppers
sh1						sh1-unknown-none
sh1-elf						sh1-unknown-elf
sh1le-elf					sh1le-unknown-elf
sh2						sh2-unknown-none
sh2-elf						sh2-unknown-elf
sh2a						sh2a-unknown-none
sh2a-elf					sh2a-unknown-elf
sh2aeb						sh2aeb-unknown-none
sh2aeb-elf					sh2aeb-unknown-elf
sh2e						sh2e-unknown-none
sh2e-elf					sh2e-unknown-elf
sh2eb						sh2eb-unknown-none
sh2eb-elf					sh2eb-unknown-elf
sh2ele						sh2ele-unknown-none
sh2ele-elf					sh2ele-unknown-elf
sh2le						sh2le-unknown-none
sh2le-elf					sh2le-unknown-elf
sh3						sh3-unknown-none
sh3-elf						sh3-unknown-elf
sh3e-elf					sh3e-unknown-elf
sh3eb-elf					sh3eb-unknown-elf
sh3ele						sh3ele-unknown-none
sh3ele-elf					sh3ele-unknown-elf
sh3le-elf					sh3le-unknown-elf
sh4						sh4-unknown-none
sh4-elf						sh4-unknown-elf
sh4a-elf					sh4a-unknown-elf
sh4aeb						sh4aeb-unknown-none
sh4aeb-elf					sh4aeb-unknown-elf
sh4eb-elf					sh4eb-unknown-elf
sh4le-elf					sh4le-unknown-elf
sh5el-elf					sh5le-unknown-elf
sh5el-netbsd					sh5le-unknown-netbsd
sh64						sh64-unknown-none
sh64-elf					sh64-unknown-elf
sh64le						sh64le-unknown-none
